1,Normal ECG
2,Coronary Artery Disease
3,Old Anterior Myocardial Infarction
4,Old Inferior Myocardial Infarction
5,Sinus Tachycardy
6,Sinus Bradycardy
7,Ventricular Premature Contraction
8,Supraventricular Premature Contraction
9,Left Bundle Branch Block
10,Right Bundle Branch Block
11,First Degree Atrioventricular Block
12,Second Degree Atrioventricular Block
13,Third Degree Atrioventricular Block
14,Left Ventricular Hypertrophy
15,Atrial Fibrillation or Flutter
16,All other Arrhythmias
